goodreads_book_id,genre
1,fantasy
2,fantasy
3,fantasy
5,fantasy
6,fantasy
8,fantasy
10,fantasy
11,fantasy
13,fantasy
30,fantasy
33,fantasy
34,fantasy
36,fantasy
105,fantasy
106,fantasy
112,fantasy
117,fantasy
119,fantasy
291,fantasy
295,fantasy
343,fantasy
348,fantasy
350,fantasy
353,fantasy
355,fantasy
357,fantasy
359,fantasy
360,fantasy
365,fantasy
378,fantasy
415,fantasy
662,fantasy
667,fantasy
703,fantasy
816,fantasy
822,fantasy
823,fantasy
825,fantasy
827,fantasy
830,fantasy
865,fantasy
870,fantasy
902,fantasy
903,fantasy
960,fantasy
968,fantasy
976,fantasy
1232,fantasy
1295,fantasy
1305,fantasy
1307,fantasy
1371,fantasy
1375,fantasy
1381,fantasy
1420,fantasy
1426,fantasy
1427,fantasy
1428,fantasy
1519,fantasy
1524,fantasy
1540,fantasy
1554,fantasy
1622,fantasy
1625,fantasy
1715,fantasy
1852,fantasy
2002,fantasy
2142,fantasy
2255,fantasy
2442,fantasy
2493,fantasy
2526,fantasy
2528,fantasy
2530,fantasy
2696,fantasy
2744,fantasy
2839,fantasy
2873,fantasy
2879,fantasy
2880,fantasy
2932,fantasy
2998,fantasy
3008,fantasy
3049,fantasy
3291,fantasy
3304,fantasy
3384,fantasy
3446,fantasy
3467,fantasy
3636,fantasy
3682,fantasy
3685,fantasy
3836,fantasy
3972,fantasy
3973,fantasy
3974,fantasy
3977,fantasy
3985,fantasy
4004,fantasy
4005,fantasy
4006,fantasy
4008,fantasy
4031,fantasy
4214,fantasy
4381,fantasy
4407,fantasy
4516,fantasy
4599,fantasy
4662,fantasy
4692,fantasy
4813,fantasy
4830,fantasy
4835,fantasy
4929,fantasy
4948,fantasy
4978,fantasy
4980,fantasy
4981,fantasy
4982,fantasy
4983,fantasy
4985,fantasy
4986,fantasy
4989,fantasy
5038,fantasy
5043,fantasy
5064,fantasy
5091,fantasy
5093,fantasy
5094,fantasy
5096,fantasy
5129,fantasy
5130,fantasy
5159,fantasy
5198,fantasy
5289,fantasy
5297,fantasy
5326,fantasy
5338,fantasy
5364,fantasy
5367,fantasy
5413,fantasy
5417,fantasy
5470,fantasy
5472,fantasy
5479,fantasy
5481,fantasy
5575,fantasy
5659,fantasy
5759,fantasy
5787,fantasy
5805,fantasy
5907,fantasy
6149,fantasy
6159,fantasy
6288,fantasy
6294,fantasy
6319,fantasy
6327,fantasy
6328,fantasy
6334,fantasy
6419,fantasy
6420,fantasy
6440,fantasy
6554,fantasy
6572,fantasy
6628,fantasy
6656,fantasy
6670,fantasy
6671,fantasy
6678,fantasy
6687,fantasy
6689,fantasy
6690,fantasy
6693,fantasy
6694,fantasy
6819,fantasy
6820,fantasy
6952,fantasy
6976,fantasy
7081,fantasy
7082,fantasy
7126,fantasy
7190,fantasy
7194,fantasy
7329,fantasy
7332,fantasy
7389,fantasy
7437,fantasy
7572,fantasy
7613,fantasy
7624,fantasy
7661,fantasy
7667,fantasy
7668,fantasy
7669,fantasy
7670,fantasy
7672,fantasy
7673,fantasy
7677,fantasy
7679,fantasy
7723,fantasy
7728,fantasy
7733,fantasy
7769,fantasy
7770,fantasy
7779,fantasy
7780,fantasy
7784,fantasy
7785,fantasy
7788,fantasy
7967,fantasy
7968,fantasy
7973,fantasy
7979,fantasy
7980,fantasy
7981,fantasy
7983,fantasy
7987,fantasy
7993,fantasy
7996,fantasy
7998,fantasy
7999,fantasy
8073,fantasy
8087,fantasy
8088,fantasy
8089,fantasy
8172,fantasy
8492,fantasy
8647,fantasy
8648,fantasy
8650,fantasy
8680,fantasy
8682,fantasy
